都道府県,初任給額_大卒男,格差_大卒男,初任給額_高専・短大卒男,格差_高卒・短大卒男,初任給額_高卒男,格差_高卒男,初任給額_大卒女,格差_大卒女,初任給額_高専・短大卒女,格差_高専・短大卒女,初任給額_高卒女,格差_高卒女
北海道,188.2,92,156.9,88,150.6,91,187.4,96,150.8,87,137.8,85
青森,177.5,87,150.8,85,150.8,91,163,83,162.9,94,132.5,81
岩手,182.8,89,150.6,85,145.3,87,177.8,91,141.4,82,135.8,83
秋田,176.4,86,158.2,89,146.3,88,176.6,90,139.5,81,134.9,83
福島,192.5,94,158.4,89,155.6,94,182.8,94,153.3,89,141,87
茨城,198.2,97,170.5,96,160.9,97,194.3,99,168.8,98,153.6,94
栃木,195.3,95,168.4,95,154.7,93,186.3,95,159.4,92,147.2,90
埼玉,201.2,98,179.2,101,161.7,97,191.5,98,163.2,94,151.2,93
千葉,197,96,162.7,92,160.5,97,196,100,167.2,97,152.7,94
富山,189.6,93,167.7,94,158,95,179.2,92,151,87,147.5,90
石川,188.9,92,164.6,93,154.6,93,179.2,92,156.6,91,149.3,92
山梨,192.1,94,168,95,160.1,96,183.5,94,161.1,93,152,93
岐阜,194.6,95,168.9,95,161.7,97,182.5,93,161.4,93,156.6,96
三重,195.9,96,170.3,96,156.2,94,187.9,96,157,91,147.1,90
京都,199.4,97,173,97,156,94,188.6,96,170.5,99,151.4,93
奈良,188.7,92,169.7,96,167.9,101,175.4,90,162,94,146.7,90
島根,180.1,88,156.8,88,149,90,167.3,86,148.1,86,142.4,87
徳島,192.7,94,154.9,87,151.9,91,169.2,87,156.9,91,142.7,88
愛媛,188.8,92,161.5,91,155.6,94,167.4,86,148.5,86,145.7,89
高知,181,88,150.2,85,144.4,87,166.3,85,166.3,96,143,88
福岡,196,96,179.7,101,155.2,93,182.4,93,157.5,91,143.7,88
長崎,190.5,93,184.7,104,147,88,165,84,146.5,85,136.5,84
熊本,182.2,89,159.9,90,144,87,178.2,91,154.5,89,138.9,85
大分,189.5,92,163.8,92,144.6,87,175.1,90,146.5,85,134.1,82
宮崎,179.3,88,153.2,86,143.3,86,181.5,93,152.5,88,128.9,79
鹿児島,185.4,90,158.4,89,145.6,88,175.8,90,154,89,137.2,84
沖縄,154.8,76,138,78,120.5,73,152,78,146,84,117.8,72